TRN_OP_DATE,STA_CODE,GATE_IN_COMING_CNT,GATE_OUT_GOING_CNT
20250102,5200,25,23
20250102,5210,663,666
20250102,5220,174,132
20250102,5230,749,700
20250102,5240,31,28
20250102,6000,4359,3596
20250102,6010,5,7
20250102,6020,197,168
20250102,6030,58,55
20250102,6040,14,11
20250102,6050,546,539
20250102,6060,9,10
20250102,6070,406,446
20250102,6080,158,176
20250102,6090,11,8
20250102,6100,11,6
20250102,6110,1138,1087
20250102,6120,9,8
20250102,6130,611,539
20250102,6140,28,30
20250102,6150,10,10
20250102,6160,478,427
20250102,6170,43,53
20250102,6180,302,311
20250102,6190,25,17
20250102,6200,12,7
20250102,6210,54,49
20250102,6220,332,322
20250102,6230,10,15
20250102,6240,455,319
20250102,6250,571,496
20250102,7000,8193,7571
20250102,7010,166,167
20250102,7020,17,11
20250102,7030,361,314
20250102,7040,22,22
20250102,7050,69,61
20250102,7060,744,753
20250102,7070,8,6
20250102,7080,19,18
20250102,7090,842,771
20250102,7100,170,214
20250102,7110,16,15
20250102,7120,453,484
20250102,7130,576,644
20250102,7150,580,538
20250102,7160,4459,4243
20250102,7170,33,35
20250102,7180,147,124
20250102,7190,4266,3736
20250102,7200,207,170
20250102,7210,1963,2080
20250102,7220,116,129
20250102,7230,1160,1145
20250102,7240,45,45
20250102,7250,107,104
20250102,7260,187,167
20250102,7270,62,73
20250102,7280,15,11
20250102,7290,501,530
20250102,7300,143,142
20250102,7310,786,807
20250102,7320,117,141
20250102,7330,72,46
20250102,7331,2,11
20250102,7332,1768,1689
20250102,7333,8,13
20250102,7334,17,9
20250102,7335,132,149
20250102,7336,116,107
20250102,7350,581,593
20250102,7360,5964,6386
20250102,7361,73,124
20250102,7380,979,837
20250102,7390,713,659
20250103,0900,10417,9645
20250103,0910,1735,1879
20250103,0920,2912,2580
20250103,0930,7634,7615
20250103,0940,3224,3171
20250103,0950,3012,2272
20250103,0960,12871,13265
20250103,0970,15678,15636
20250103,0980,18947,20091
20250103,0990,22635,22633
20250103,1000,71939,68101
20250103,1010,6095,5992
20250103,1020,27100,27892
20250103,1030,4185,3888
20250103,1040,16368,16690
20250103,1050,1696,1675
20250103,1060,1920,1932
20250103,1070,9609,9595
20250103,1075,1970,2137
20250103,1080,30760,32402
20250103,1090,12384,11522
20250103,1100,27601,26864
20250103,1110,7328,7083
20250103,1120,6526,5889
20250103,1130,1986,2034
20250103,1140,466,479
20250103,1150,1252,1167
20250103,1160,4475,4431
20250103,1170,7361,6800
20250103,1180,7508,7662
20250103,1190,3792,3638
20250103,1191,482,407
20250103,1192,3110,2349
20250103,1193,1251,930
20250103,1194,4297,5217
20250103,1201,78,91
20250103,1202,412,217
20250103,1203,616,683
20250103,1204,82,82
20250103,1205,44,48
20250103,1206,53,51
20250103,1207,22,222
20250103,1208,224,252
20250103,1210,23702,22875
20250103,1220,1975,1654
20250103,1230,788,809
20250103,1240,344,332
20250103,1250,10482,11055
20250103,2110,55,48
20250103,2120,92,98
20250103,2130,2543,1283
20250103,2140,32,24
20250103,2150,579,612
20250103,2160,47,54
20250103,2170,760,992
20250103,2180,1851,2063
20250103,2190,321,334
20250103,2200,2731,3144
20250103,2210,105,138
20250103,2220,1528,2011
20250103,2230,3198,3351
20250103,2240,517,654
20250103,2250,832,954
20250103,2260,523,303
20250103,3140,495,510
20250103,3150,1182,1155
20250103,3160,6994,6964
20250103,3170,221,180
20250103,3180,862,1075
20250103,3190,699,880
20250103,3210,651,747
20250103,3220,2820,2555
20250103,3230,8373,10105
20250103,3240,1167,1188
20250103,3250,2584,2941
20250103,3260,808,973
20250103,3270,3376,3569
20250103,3280,2522,2565
20250103,3290,1717,1767
20250103,3300,27532,26253
20250103,3310,2339,2349
20250103,3320,4321,3663
20250103,3330,590,722
20250103,3340,10303,7945
20250103,3350,819,981
20250103,3360,14067,15890
20250103,3370,1170,1578
20250103,3380,880,1072
20250103,3390,7840,10307
20250103,3400,582,806
20250103,3410,1157,1535
20250103,3420,2442,3457
20250103,3430,913,1134
20250103,3431,10,17
20250103,3432,61,84
20250103,3433,1,3
20250103,3434,33,36
20250103,3435,40,74
20250103,3436,38,39
20250103,3450,819,1113
20250103,3460,235,277
20250103,3470,6565,6752
20250103,3480,2308,2741
20250103,3490,139,157
20250103,4050,2497,1909
20250103,4060,2700,2171
20250103,4070,846,906
20250103,4080,11133,12027
20250103,4090,741,809
20250103,4100,196,309
20250103,4110,666,747
20250103,4120,5834,6730
20250103,4130,1584,958
20250103,4140,589,685
20250103,4150,1621,1484
20250103,4160,225,204
20250103,4170,4313,4347
20250103,4180,2037,1685
20250103,4190,3034,2742
20250103,4200,4188,3705
20250103,4210,5582,4461
20250103,4220,28563,29016
20250103,4250,2263,1836
20250103,4260,917,929
20250103,4270,451,401
20250103,4271,904,585
20250103,4272,3662,3392
20250103,4290,3725,2418
20250103,4300,1908,2005
20250103,4310,3213,3497
20250103,4320,1586,1636
20250103,4330,3200,2734
20250103,4340,13884,13815
20250103,4350,953,877
20250103,4360,1042,1208
20250103,4370,1740,1815
20250103,4380,578,596
20250103,4390,749,892
20250103,4400,15812,16560
20250103,4410,1077,1089
20250103,4420,2262,2093
20250103,4430,1796,1675
20250103,4440,7004,6892
20250103,4450,781,828
20250103,4460,1383,1456
20250103,4470,180,197
20250103,5000,11494,12375
20250103,5010,310,361
20250103,5020,217,217
20250103,5030,1105,1050
20250103,5040,277,300
20250103,5050,3954,4856
20250103,5060,251,207
20250103,5070,731,691
20250103,5080,44,44
20250103,5090,521,669
20250103,5100,184,230
20250103,5110,83,168
20250103,5120,1073,1365
20250103,5130,94,0
20250103,5160,4,2
20250103,5190,260,287
20250103,5200,15,43
20250103,5210,609,635
20250103,5220,150,162
20250103,5230,859,599
20250103,5240,36,20
20250103,6000,5377,4398
20250103,6010,5,7
20250103,6020,205,232
20250103,6030,49,52
20250103,6040,13,14
20250103,6050,630,738
20250103,6060,10,13
20250103,6070,509,615
20250103,6080,201,228
20250103,6090,8,8
20250103,6100,15,18
20250103,6110,1612,1577
20250103,6120,14,21
20250103,6130,638,816
20250103,6140,26,54
20250103,6150,10,9
20250103,6160,534,595
20250103,6170,41,60
20250103,6180,428,507
20250103,6190,28,52
20250103,6200,6,11
20250103,6210,62,63
20250103,6220,425,431
20250103,6230,11,12
20250103,6240,873,347
20250103,6250,680,751
20250103,7000,10425,9829
20250103,7010,191,189
20250103,7020,16,13
20250103,7030,421,371
20250103,7040,28,29
20250103,7050,59,51
20250103,7060,789,828
20250103,7070,10,6
20250103,7080,14,18
20250103,7090,961,907
20250103,7100,157,181
20250103,7110,18,17
20250103,7120,582,604
20250103,7130,687,781
20250103,7150,614,680
20250103,7160,4959,5074
20250103,7170,51,74
20250103,7180,125,132
20250103,7190,4377,4382
20250103,7200,178,173
20250103,7210,2099,2391
20250103,7220,137,120
20250103,7230,1282,1411
20250103,7240,52,46
20250103,7250,97,114
20250103,7260,229,247
20250103,7270,105,89
20250103,7280,8,11
20250103,7290,521,630
20250103,7300,161,177
20250103,7310,910,816
20250103,7320,125,131
20250103,7330,44,44
20250103,7331,6,1
20250103,7332,2089,1963
20250103,7333,7,14
20250103,7334,20,13
20250103,7335,168,154
20250103,7336,233,240
20250103,7350,693,759
20250103,7360,6788,7169
20250103,7361,203,223
20250103,7380,911,883
20250103,7390,677,692
20250104,0900,10309,9927
20250104,0910,1398,1615
20250104,0920,2016,1867
20250104,0930,5679,5516
20250104,0940,2477,2354
20250104,0950,2158,1775
20250104,0960,10689,10533
20250104,0970,7322,6896
20250104,0980,13375,13910
20250104,0990,15827,14954
20250104,1000,64043,60766
20250104,1010,5240,5322
20250104,1020,25378,24687
20250104,1030,3345,2945
20250104,1040,14370,13993
20250104,1050,1279,1213
20250104,1060,1733,1611
20250104,1070,8355,8121
20250104,1075,2050,2059
20250104,1080,30241,31569
20250104,1090,8995,8983
20250104,1100,24931,26563
20250104,1110,5723,5571
20250104,1120,5035,4988
20250104,1130,2021,1928
20250104,1140,302,305
20250104,1150,920,950
20250104,1160,3761,3743
20250104,1170,6400,6329
20250104,1180,5431,5435
20250104,1190,2276,2375
20250104,1191,369,320
20250104,1192,2114,1825
20250104,1193,1025,884
20250104,1194,3533,3698
20250104,1201,106,105
20250104,1202,353,183
20250104,1203,849,863
20250104,1204,227,212
20250104,1205,59,44
20250104,1206,127,107
20250104,1207,15,139
20250104,1208,937,967
20250104,1210,23038,23187
20250104,1220,1134,1049
20250104,1230,618,592
20250104,1240,326,308
20250104,1250,8490,8621
20250104,2110,94,86
20250104,2120,87,123
20250104,2130,801,824
20250104,2140,27,31
20250104,2150,1038,1055
20250104,2160,72,69
20250104,2170,834,912
20250104,2180,1240,1471
20250104,2190,323,282
20250104,2200,2933,3139
20250104,2210,64,64
20250104,2220,1344,1339
20250104,2230,2965,2866
20250104,2240,571,483
20250104,2250,773,785
20250104,2260,880,283
20250104,3140,443,393
20250104,3150,987,1026
20250104,3160,4922,5212
20250104,3170,116,130
20250104,3180,1020,1054
20250104,3190,739,810
20250104,3210,975,1112
20250104,3220,2239,2124
20250104,3230,8249,8899
20250104,3240,1025,1020
20250104,3250,2635,2587
20250104,3260,781,764
20250104,3270,3083,3015
20250104,3280,2728,2547
20250104,3290,1648,1553
20250104,3300,30748,30834
20250104,3310,2163,2029
20250104,3320,3301,2982
20250104,3330,840,863
20250104,3340,10069,8754
20250104,3350,761,1260
